idx,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),class
0,4.4,2.9,1.4,0.2,setosa
1,4.9,2.5,4.5,1.7,virginica
2,6.8,2.8,4.8,1.4,versicolor
3,4.9,3.1,1.5,0.1,setosa
4,5.5,2.5,4.0,1.3,versicolor
5,6.3,2.5,5.0,1.9,virginica
6,5.6,2.7,4.2,1.3,versicolor
7,6.3,2.8,5.1,1.5,virginica
8,7.7,3.0,6.1,2.3,virginica
9,7.7,3.8,6.7,2.2,virginica
10,7.6,3.0,6.6,2.1,virginica
11,6.0,2.9,4.5,1.5,versicolor
12,5.0,2.0,3.5,1.0,versicolor
13,5.8,2.7,4.1,1.0,versicolor
14,5.8,2.6,4.0,1.2,versicolor
15,4.7,3.2,1.6,0.2,setosa
16,5.1,3.8,1.5,0.3,setosa
17,6.7,2.5,5.8,1.8,virginica
18,6.4,3.1,5.5,1.8,virginica
19,5.4,3.4,1.5,0.4,setosa
20,6.3,2.5,4.9,1.5,versicolor
21,5.1,3.8,1.6,0.2,setosa
22,7.9,3.8,6.4,2.0,virginica
23,5.0,3.0,1.6,0.2,setosa
24,5.5,2.4,3.7,1.0,versicolor
25,6.3,2.9,5.6,1.8,virginica
26,6.4,2.7,5.3,1.9,virginica
27,5.0,3.4,1.6,0.4,setosa
28,5.6,2.8,4.9,2.0,virginica
29,5.0,3.5,1.3,0.3,setosa
30,5.1,3.7,1.5,0.4,setosa
31,6.1,2.8,4.0,1.3,versicolor
32,6.1,3.0,4.6,1.4,versicolor
33,5.7,4.4,1.5,0.4,setosa
34,6.9,3.1,5.4,2.1,virginica
35,6.2,3.4,5.4,2.3,virginica
36,5.7,2.6,3.5,1.0,versicolor
37,5.2,2.7,3.9,1.4,versicolor
38,6.7,3.3,5.7,2.5,virginica
39,5.9,3.2,4.8,1.8,versicolor
40,4.6,3.4,1.4,0.3,setosa
41,7.0,3.2,4.7,1.4,versicolor
42,5.4,3.9,1.3,0.4,setosa
43,7.4,2.8,6.1,1.9,virginica
44,4.9,3.0,1.4,0.2,setosa
45,5.1,3.5,1.4,0.3,setosa
46,5.8,2.7,5.1,1.9,virginica
47,5.0,3.2,1.2,0.2,setosa
48,4.5,2.3,1.3,0.3,setosa
49,4.8,3.0,1.4,0.1,setosa
50,4.8,3.0,1.4,0.3,setosa
51,5.6,2.9,3.6,1.3,versicolor
52,6.3,3.3,6.0,2.5,virginica
53,5.7,2.8,4.5,1.3,versicolor
54,5.1,3.5,1.4,0.2,setosa
55,5.9,3.0,5.1,1.8,virginica
56,5.7,2.8,4.1,1.3,versicolor
57,6.3,3.4,5.6,2.4,virginica
58,4.6,3.2,1.4,0.2,setosa
59,5.8,2.7,5.1,1.9,virginica
60,5.5,3.5,1.3,0.2,setosa
61,5.5,2.3,4.0,1.3,versicolor
62,5.7,2.5,5.0,2.0,virginica
63,4.8,3.4,1.9,0.2,setosa
64,6.0,2.7,5.1,1.6,versicolor
65,5.5,2.6,4.4,1.2,versicolor
66,7.7,2.8,6.7,2.0,virginica
67,5.6,3.0,4.5,1.5,versicolor
68,6.5,2.8,4.6,1.5,versicolor
69,6.4,3.2,5.3,2.3,virginica
70,5.1,3.4,1.5,0.2,setosa
71,5.1,3.3,1.7,0.5,setosa
72,5.0,3.6,1.4,0.2,setosa
73,6.0,2.2,5.0,1.5,virginica
74,5.8,2.7,3.9,1.2,versicolor
75,7.2,3.0,5.8,1.6,virginica
76,5.5,2.4,3.8,1.1,versicolor
77,6.7,3.0,5.2,2.3,virginica
78,6.3,2.7,4.9,1.8,virginica
79,6.0,3.4,4.5,1.6,versicolor
80,4.9,3.1,1.5,0.2,setosa
81,5.8,2.8,5.1,2.4,virginica
82,6.2,2.2,4.5,1.5,versicolor
83,5.0,3.5,1.6,0.6,setosa
84,6.9,3.2,5.7,2.3,virginica
85,5.2,4.1,1.5,0.1,setosa
86,7.2,3.6,6.1,2.5,virginica
87,5.1,2.5,3.0,1.1,versicolor
88,6.7,3.1,4.7,1.5,versicolor
89,4.8,3.1,1.6,0.2,setosa
90,6.2,2.9,4.3,1.3,versicolor
91,6.5,3.2,5.1,2.0,virginica
92,5.1,3.8,1.9,0.4,setosa
93,4.3,3.0,1.1,0.1,setosa
94,6.7,3.3,5.7,2.1,virginica
95,7.7,2.6,6.9,2.3,virginica
96,6.8,3.0,5.5,2.1,virginica
97,6.3,2.3,4.4,1.3,versicolor
98,6.2,2.8,4.8,1.8,virginica
99,5.4,3.9,1.7,0.4,setosa
100,6.8,3.2,5.9,2.3,virginica
101,5.7,2.9,4.2,1.3,versicolor
102,7.2,3.2,6.0,1.8,virginica
103,7.1,3.0,5.9,2.1,virginica
104,5.3,3.7,1.5,0.2,setosa
105,6.4,2.9,4.3,1.3,versicolor
106,6.1,2.8,4.7,1.2,versicolor
107,5.7,3.0,4.2,1.2,versicolor
108,5.6,3.0,4.1,1.3,versicolor
109,6.7,3.1,4.4,1.4,versicolor
110,5.2,3.5,1.5,0.2,setosa
111,6.4,2.8,5.6,2.1,virginica
112,6.0,2.2,4.0,1.0,versicolor
113,5.9,3.0,4.2,1.5,versicolor
114,4.8,3.4,1.6,0.2,setosa
115,4.9,3.6,1.4,0.1,setosa
116,4.7,3.2,1.3,0.2,setosa
117,5.5,4.2,1.4,0.2,setosa
118,6.9,3.1,4.9,1.5,versicolor
119,4.6,3.1,1.5,0.2,setosa
